"","Province.State","SNo","ObservationDate","Country.Region","Last.Update","Confirmed","Deaths","Recovered","lat","lng"
"103","Beijing",4963,"03/12/2020","China","2020-03-12T01:13:05",435,8,334,40.2374,116.2305
"104","Beijing",1503,"02/15/2020","China","2020-02-15T09:53:01",375,4,98,40.2374,116.2305
"105","Beijing",1208,"02/11/2020","China","2020-02-11T03:03:07",342,3,48,40.2374,116.2305
"106","Beijing",15000,"04/14/2020","China","2020-04-14 23:41:11",589,8,491,40.2374,116.2305
"107","Beijing",385,"01/30/2020","China","1/30/20 16:00",114,1,4,40.2374,116.2305
"108","Beijing",639,"02/03/2020","China","2020-02-03T09:23:05",212,1,12,40.2374,116.2305
"109","Beijing",2125,"02/23/2020","China","2020-02-23T01:13:13",399,4,189,40.2374,116.2305
"110","Beijing",1354,"02/13/2020","China","2020-02-13T14:13:06",366,3,69,40.2374,116.2305
"111","Beijing",2496,"02/27/2020","China","2020-02-27T02:23:13",410,5,248,40.2374,116.2305
"112","Beijing",8087,"03/23/2020","China","2020-03-23 23:23:20",537,8,401,40.2374,116.2305
"113","Beijing",2210,"02/24/2020","China","2020-02-24T00:53:02",399,4,198,40.2374,116.2305
"114","Beijing",2960,"03/02/2020","China","2020-03-02T02:13:16",414,8,282,40.2374,116.2305
"115","Beijing",506,"02/01/2020","China","2/1/2020 9:17",168,1,9,40.2374,116.2305
"116","Beijing",9297,"03/27/2020","China","2020-03-27 23:27:48",569,8,408,40.2374,116.2305
"117","Beijing",3587,"03/06/2020","China","2020-03-06T12:53:03",422,8,299,40.2374,116.2305
"118","Beijing",88,"01/24/2020","China","1/24/20 17:00",36,0,1,40.2374,116.2305
"119","Beijing",2041,"02/22/2020","China","2020-02-22T02:23:05",399,4,178,40.2374,116.2305
"120","Beijing",572,"02/02/2020","China","2020-02-02T08:43:02",191,1,9,40.2374,116.2305
"121","Beijing",7789,"03/22/2020","China","3/8/20 5:31",514,8,400,40.2374,116.2305
"122","Beijing",2395,"02/26/2020","China","2020-02-26T00:53:02",400,4,235,40.2374,116.2305
"123","Beijing",5166,"03/13/2020","China","2020-03-13T11:09:03",436,8,342,40.2374,116.2305
"124","Beijing",15320,"04/15/2020","China","2020-04-15 23:04:26",590,8,495,40.2374,116.2305
"125","Beijing",11169,"04/02/2020","China","4/2/20 8:53",582,8,424,40.2374,116.2305
"126","Beijing",707,"02/04/2020","China","2020-02-04T08:33:01",228,1,23,40.2374,116.2305
"127","Beijing",5414,"03/14/2020","China","2020-03-14T02:13:47",437,8,349,40.2374,116.2305
"128","Beijing",15640,"04/16/2020","China","2020-04-16 23:38:19",593,8,503,40.2374,116.2305
"129","Beijing",6471,"03/18/2020","China","2020-03-18T05:33:05",469,8,378,40.2374,116.2305
"130","Beijing",991,"02/08/2020","China","2020-02-08T03:13:09",315,2,34,40.2374,116.2305
"131","Beijing",16920,"04/20/2020","China","2020-04-20 23:44:50",593,8,514,40.2374,116.2305
"132","Beijing",1281,"02/12/2020","China","2020-02-12T02:43:03",352,3,56,40.2374,116.2305
"133","Beijing",8686,"03/25/2020","China","2020-03-25 23:37:49",561,8,403,40.2374,116.2305
"134","Beijing",6761,"03/19/2020","China","2020-03-19T05:13:10",480,8,380,40.2374,116.2305
"135","Beijing",1578,"02/16/2020","China","2020-02-16T10:03:06",380,4,108,40.2374,116.2305
"136","Beijing",16280,"04/18/2020","China","2020-04-18 22:40:18",593,8,509,40.2374,116.2305
"137","Beijing",3788,"03/07/2020","China","2020-03-07T01:03:05",426,8,303,40.2374,116.2305
"138","Beijing",12117,"04/05/2020","China","2020-04-05 23:13:44",586,8,441,40.2374,116.2305
"139","Beijing",919,"02/07/2020","China","2020-02-07T03:23:02",297,1,33,40.2374,116.2305
"140","Beijing",328,"01/29/2020","China","1/29/20 19:30",111,1,4,40.2374,116.2305
"141","Beijing",12437,"04/06/2020","China","4/6/20 9:37",587,8,443,40.2374,116.2305
"142","Beijing",2601,"02/28/2020","China","2020-02-28T02:23:05",410,7,257,40.2374,116.2305
"143","Beijing",11484,"04/03/2020","China","2020-04-03 22:52:45",584,8,434,40.2374,116.2305
"144","Beijing",8384,"03/24/2020","China","2020-03-24 23:41:50",558,8,401,40.2374,116.2305
"145","Beijing",3101,"03/03/2020","China","2020-03-03T02:03:11",414,8,288,40.2374,116.2305
"146","Beijing",9606,"03/28/2020","China","3/8/20 5:31",573,8,410,40.2374,116.2305
"147","Beijing",15960,"04/17/2020","China","2020-04-17 23:38:48",593,8,509,40.2374,116.2305
"148","Beijing",848,"02/06/2020","China","2020-02-06T03:23:11",274,1,31,40.2374,116.2305
"149","Beijing",4535,"03/10/2020","China","2020-03-10T01:13:07",429,8,320,40.2374,116.2305
"150","Beijing",2,"01/22/2020","China","1/22/2020 17:00",14,0,0,40.2374,116.2305
"151","Beijing",3252,"03/04/2020","China","2020-03-04T23:23:01",418,8,297,40.2374,116.2305
"152","Beijing",277,"01/28/2020","China","1/28/20 23:00",91,1,4,40.2374,116.2305
"153","Beijing",4746,"03/11/2020","China","2020-03-11T02:18:14",435,8,326,40.2374,116.2305
"154","Beijing",1428,"02/14/2020","China","2020-02-14T06:33:02",372,3,80,40.2374,116.2305
"155","Beijing",10229,"03/30/2020","China","3/8/20 5:31",577,8,415,40.2374,116.2305
"156","Beijing",13397,"04/09/2020","China","2020-04-09 23:09:19",588,8,464,40.2374,116.2305
"157","Beijing",777,"02/05/2020","China","2020-02-05T05:43:02",253,1,24,40.2374,116.2305
"158","Beijing",5663,"03/15/2020","China","2020-03-15T01:13:10",442,8,353,40.2374,116.2305
"159","Beijing",223,"01/27/2020","China","1/27/20 23:59",80,1,2,40.2374,116.2305
"160","Beijing",10855,"04/01/2020","China","2020-04-01 22:04:58",580,8,418,40.2374,116.2305
"161","Beijing",1063,"02/09/2020","China","2020-02-09T03:43:02",326,2,37,40.2374,116.2305
"162","Beijing",1654,"02/17/2020","China","2020-02-17T01:23:02",381,4,114,40.2374,116.2305
"163","Beijing",14039,"04/11/2020","China","2020-04-11 22:52:46",589,8,474,40.2374,116.2305
"164","Beijing",4013,"03/08/2020","China","2020-03-08T01:23:07",428,8,308,40.2374,116.2305
"165","Beijing",9917,"03/29/2020","China","3/8/20 5:31",577,8,412,40.2374,116.2305
"166","Beijing",11799,"04/04/2020","China","4/4/20 9:38",585,8,438,40.2374,116.2305
"167","Beijing",14360,"04/12/2020","China","2020-04-12 23:25:00",589,8,479,40.2374,116.2305
"168","Beijing",12757,"04/07/2020","China","2020-04-07 23:11:31",587,8,448,40.2374,116.2305
"169","Beijing",13077,"04/08/2020","China","2020-04-08 22:59:00",588,8,455,40.2374,116.2305
"170","Beijing",16600,"04/19/2020","China","2020-04-19 23:49:05",593,8,510,40.2374,116.2305
"171","Beijing",176,"01/26/2020","China","1/26/20 16:00",68,0,2,40.2374,116.2305
"172","Beijing",5923,"03/16/2020","China","2020-03-16T14:38:45",452,8,360,40.2374,116.2305
"173","Beijing",40,"01/23/2020","China","1/23/20 17:00",22,0,0,40.2374,116.2305
"174","Beijing",14680,"04/13/2020","China","2020-04-13 23:15:42",589,8,484,40.2374,116.2305
"175","Beijing",1135,"02/10/2020","China","2020-02-10T03:13:08",337,2,44,40.2374,116.2305
"176","Beijing",7366,"03/21/2020","China","2020-03-21T05:13:04",504,8,396,40.2374,116.2305
"177","Beijing",13718,"04/10/2020","China","2020-04-10 23:01:43",588,8,469,40.2374,116.2305
"178","Beijing",10542,"03/31/2020","China","2020-03-31 23:49:27",580,8,418,40.2374,116.2305
"179","Beijing",1729,"02/18/2020","China","2020-02-18T02:13:06",387,4,122,40.2374,116.2305
"180","Beijing",7058,"03/20/2020","China","2020-03-20T06:43:05",491,8,390,40.2374,116.2305
"181","Chongqing",8996,"03/26/2020","China","2020-03-26 23:53:24",578,6,570,29.4316,106.9123
"182","Chongqing",635,"02/03/2020","China","2020-02-03T23:43:02",337,2,9,29.4316,106.9123
"183","Chongqing",5163,"03/13/2020","China","2020-03-13T23:13:12",576,6,566,29.4316,106.9123
"184","Chongqing",915,"02/07/2020","China","2020-02-07T23:33:02",426,2,31,29.4316,106.9123
"185","Chongqing",1800,"02/19/2020","China","2020-02-19T23:23:02",560,5,274,29.4316,106.9123
"186","Chongqing",5409,"03/14/2020","China","2020-03-14T23:53:02",576,6,569,29.4316,106.9123
"187","Chongqing",3098,"03/03/2020","China","2020-03-03T23:13:05",576,6,490,29.4316,106.9123
"188","Chongqing",273,"01/28/2020","China","1/28/20 23:00",132,0,0,29.4316,106.9123
"189","Chongqing",89,"01/24/2020","China","1/24/20 17:00",27,0,0,29.4316,106.9123
"190","Chongqing",4531,"03/10/2020","China","2020-03-10T23:53:02",576,6,547,29.4316,106.9123
